date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:50	46112/46112	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-b420%22	https://www.yan-holtz.com/img/portfolio/Unics.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/Unics.png	(from https://www.yan-holtz.com/)
14:24:51	43157/43157	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-a895%22	https://www.yan-holtz.com/img/portfolio/Crypto.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/Crypto.png	(from https://www.yan-holtz.com/)
14:24:51	58183/58183	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-e347%22	https://www.yan-holtz.com/img/portfolio/Surf.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/Surf.png	(from https://www.yan-holtz.com/)
14:24:51	41140/41140	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-a0b4%22	https://www.yan-holtz.com/img/portfolio/WSSMV.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/WSSMV.png	(from https://www.yan-holtz.com/)
14:24:51	13445/13445	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-3485%22	https://www.yan-holtz.com/img/portfolio/capture.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/capture.png	(from https://www.yan-holtz.com/)
14:24:52	78110/78110	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-1311e%22	https://www.yan-holtz.com/img/reference/DGouache.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/reference/DGouache.png	(from https://www.yan-holtz.com/)
14:24:52	4325/4325	---M--	200	added ('OK')	image/jpeg	etag:%2264c7ca12-10e5%22	https://www.yan-holtz.com/img/reference/JDavid.jpg	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/reference/JDavid.jpg	(from https://www.yan-holtz.com/)
14:24:52	3986/3986	---M--	200	added ('OK')	image/jpeg	etag:%2264c7ca12-f92%22	https://www.yan-holtz.com/img/reference/SGlemin.jpg	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/reference/SGlemin.jpg	(from https://www.yan-holtz.com/)
14:24:52	22936/22936	---M--	200	added ('OK')	image/jpeg	etag:%2264c7ca12-5998%22	https://www.yan-holtz.com/img/reference/JMGrath.jpg	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/reference/JMGrath.jpg	(from https://www.yan-holtz.com/)
14:24:52	232318/232318	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-38b7e%22	https://www.yan-holtz.com/img/portfolio/ukbGeoDemo.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/ukbGeoDemo.png	(from https://www.yan-holtz.com/)
14:24:53	286917/286917	---M--	200	added ('OK')	image/jpeg	etag:%2264c7ca12-460c5%22	https://www.yan-holtz.com/img/portfolio/genmapcomp.jpg	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/genmapcomp.jpg	(from https://www.yan-holtz.com/)
14:24:53	104057/104057	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-19679%22	https://www.yan-holtz.com/img/portfolio/como-sankey.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/como-sankey.png	(from https://www.yan-holtz.com/)
14:24:53	708224/708224	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-ace80%22	https://www.yan-holtz.com/img/portfolio/researchNet.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/researchNet.png	(from https://www.yan-holtz.com/)
14:24:53	4039453/4039453	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-3da31d%22	https://www.yan-holtz.com/img/portfolio/TI1.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/TI1.png	(from https://www.yan-holtz.com/)
14:24:53	1329286/1329286	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-144886%22	https://www.yan-holtz.com/img/portfolio/GreenTech-screen.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/GreenTech-screen.png	(from https://www.yan-holtz.com/)
14:24:54	130774/130774	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-1fed6%22	https://www.yan-holtz.com/img/portfolio/Unics_logo.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/Unics_logo.png	(from https://www.yan-holtz.com/)
14:24:54	143094/143094	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-22ef6%22	https://www.yan-holtz.com/img/portfolio/unics_screen.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/portfolio/unics_screen.png	(from https://www.yan-holtz.com/)
14:24:54	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264c7ca12-1538f%22	https://www.yan-holtz.com/vendor/jquery/jquery.min.js	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/vendor/jquery/jquery.min.js	(from https://www.yan-holtz.com/)
14:24:55	67742/67742	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264c7ca12-1089e%22	https://www.yan-holtz.com/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://www.yan-holtz.com/)
14:24:55	2532/2532	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264c7ca12-9e4%22	https://www.yan-holtz.com/vendor/jquery-easing/jquery.easing.min.js	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/vendor/jquery-easing/jquery.easing.min.js	(from https://www.yan-holtz.com/)
14:24:55	846/846	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264c7ca12-34e%22	https://www.yan-holtz.com/js/agency.min.js	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/js/agency.min.js	(from https://www.yan-holtz.com/)
14:24:55	628/628	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264c7ca12-274%22	https://www.yan-holtz.com/js/portfolio.js	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/js/portfolio.js	(from https://www.yan-holtz.com/)
14:24:56	221957/221957	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265f0d5a7-36305%22	https://d3js.org/d3.v4.min.js	C:/Users/yohan/Documents/porto-jo%20data/d3js.org/d3.v4.min.js	(from https://www.yan-holtz.com/)
14:24:56	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264c7ca12-2876e%22	https://www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://www.yan-holtz.com/vendor/font-awesome/css/font-awesome.min.css)
14:24:57	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264c7ca12-2876e%22	https://www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://www.yan-holtz.com/vendor/font-awesome/css/font-awesome.min.css)
14:24:57	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2264c7ca12-12d68%22	https://www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://www.yan-holtz.com/vendor/font-awesome/css/font-awesome.min.css)
14:24:57	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2264c7ca12-17ee8%22	https://www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://www.yan-holtz.com/vendor/font-awesome/css/font-awesome.min.css)
14:24:58	165548/165548	---M-Z	200	added ('OK')	font/ttf	etag:W/%2264c7ca12-286ac%22	https://www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://www.yan-holtz.com/vendor/font-awesome/css/font-awesome.min.css)
14:24:58	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2264c7ca12-6c7db%22	https://www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/vendor/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://www.yan-holtz.com/vendor/font-awesome/css/font-awesome.min.css)
14:24:58	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://www.yan-holtz.com/img/overview_RGG_faded.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/overview_RGG_faded.png	(from https://www.yan-holtz.com/css/agency.css)
14:24:59	741299/741299	---M--	200	added ('OK')	image/png	etag:%2264c7ca12-b4fb3%22	https://www.yan-holtz.com/img/parallax/poster_zoom_fadded.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/parallax/poster_zoom_fadded.png	(from https://www.yan-holtz.com/css/agency.css)
14:24:59	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://www.yan-holtz.com/img/parallax/surf_fading.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/parallax/surf_fading.png	(from https://www.yan-holtz.com/css/agency.css)
14:24:59	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://www.yan-holtz.com/img/map-image.png	C:/Users/yohan/Documents/porto-jo%20data/www.yan-holtz.com/img/map-image.png	(from https://www.yan-holtz.com/css/agency.css)
